Combination,Strength
0348,Strong
0349,Strong
0350,Strong
0351,Strong
0352,Strong
0353,Strong
0354,Strong
0355,Strong
0356,Strong
0357,Strong
0358,Strong
0359,Strong
0360,Strong
0361,Strong
0362,Strong
0363,Strong
0364,Strong
0365,Strong
0366,Strong
0367,Strong
0368,Strong
0369,Strong
0370,Strong
0371,Strong
0372,Strong
0373,Strong
0374,Strong
0375,Strong
0376,Strong
0377,Strong
0378,Strong
0379,Strong
0380,Strong
0381,Strong
0382,Strong
0383,Strong
0384,Strong
0385,Strong
0386,Strong
0387,Strong
0388,Strong
0389,Strong
0390,Strong
0391,Strong
0392,Strong
0393,Strong
0394,Strong
0395,Strong
0396,Strong
0397,Strong
0398,Strong
0399,Strong
0400,Medium
0401,Strong
0402,Strong
0403,Strong
0404,Medium
0405,Strong
0406,Strong
0407,Strong
0408,Strong
0409,Strong
0410,Strong
0411,Strong
0412,Strong
0413,Strong
0414,Strong
0415,Strong
0416,Strong
0417,Strong
0418,Strong
0419,Strong
0420,Strong
0421,Strong
0422,Strong
0423,Strong
0424,Strong
0425,Strong
0426,Strong
0427,Strong
0428,Strong
0429,Strong
0430,Strong
0431,Strong
0432,Strong
0433,Strong
0434,Strong
0435,Strong
0436,Strong
0437,Strong
0438,Strong
0439,Strong
0440,Medium
0441,Strong
0442,Strong
0443,Strong
0444,Medium
0445,Strong
0446,Strong
0447,Strong
0448,Strong
0449,Strong
0450,Strong
0451,Strong
0452,Strong
0453,Strong
0454,Strong
0455,Strong
0456,Strong
0457,Strong
0458,Strong
0459,Strong
0460,Strong
0461,Strong
0462,Strong
0463,Strong
0464,Strong
0465,Strong
0466,Strong
0467,Strong
0468,Strong
0469,Strong
0470,Strong
0471,Strong
0472,Strong
0473,Strong
0474,Strong
0475,Strong
0476,Strong
0477,Strong
0478,Strong
0479,Strong
0480,Strong
0481,Strong
0482,Strong
0483,Strong
0484,Strong
0485,Strong
0486,Strong
0487,Strong
0488,Strong
0489,Strong
0490,Strong
0491,Strong
0492,Strong
0493,Strong
0494,Strong
0495,Strong
0496,Strong
0497,Strong
0498,Strong
0499,Strong
0500,Medium
0501,Strong
0502,Strong
0503,Strong
0504,Strong
0505,Medium
0506,Strong
0507,Strong
0508,Strong
0509,Strong
0510,Strong
0511,Strong
0512,Strong
0513,Strong
0514,Strong
0515,Strong
0516,Strong
0517,Strong
0518,Strong
0519,Strong
0520,Strong
0521,Strong
0522,Strong
0523,Strong
0524,Strong
0525,Strong
0526,Strong
0527,Strong
0528,Strong
0529,Strong
0530,Strong
0531,Strong
0532,Strong
0533,Strong
0534,Strong
0535,Strong
0536,Strong
0537,Strong
0538,Strong
0539,Strong
0540,Strong
0541,Strong
0542,Strong
0543,Strong
0544,Strong
0545,Strong
0546,Strong
0547,Strong
0548,Strong
0549,Strong
0550,Medium
0551,Strong
0552,Strong
0553,Strong
0554,Strong
0555,Medium
0556,Strong
0557,Strong
0558,Strong
0559,Strong
0560,Strong
0561,Strong
0562,Strong
0563,Strong
0564,Strong
0565,Strong
0566,Strong
0567,Strong
0568,Strong
0569,Strong
0570,Strong
0571,Strong
0572,Strong
0573,Strong
0574,Strong
0575,Strong
0576,Strong
0577,Strong
0578,Strong
0579,Strong
0580,Strong
0581,Strong
0582,Strong
0583,Strong
0584,Strong
0585,Strong
0586,Strong
0587,Strong
0588,Strong
0589,Strong
0590,Strong
0591,Strong
0592,Strong
0593,Strong
0594,Strong
0595,Strong
0596,Strong
0597,Strong
0598,Strong
0599,Strong
0600,Medium
0601,Strong
0602,Strong
0603,Strong
0604,Strong
0605,Strong
0606,Medium
0607,Strong
0608,Strong
0609,Strong
0610,Strong
0611,Strong
0612,Strong
0613,Strong
0614,Strong
0615,Strong
0616,Strong
0617,Strong
0618,Strong
0619,Strong
0620,Strong
0621,Strong
0622,Strong
0623,Strong
0624,Strong
0625,Strong
0626,Strong
0627,Strong
0628,Strong
0629,Strong
0630,Strong
0631,Strong
0632,Strong
0633,Strong
0634,Strong
0635,Strong
0636,Strong
0637,Strong
0638,Strong
0639,Strong
0640,Strong
0641,Strong
0642,Strong
0643,Strong
0644,Strong
0645,Strong
0646,Strong
0647,Strong
0648,Strong
0649,Strong
0650,Strong
0651,Strong
0652,Strong
0653,Strong
0654,Strong
0655,Strong
0656,Strong
0657,Strong
0658,Strong
0659,Strong
0660,Medium
0661,Strong
0662,Strong
0663,Strong
0664,Strong
0665,Strong
0666,Medium
0667,Strong
0668,Strong
0669,Strong
0670,Strong
0671,Strong
0672,Strong
0673,Strong
0674,Strong
0675,Strong
0676,Strong
0677,Strong
0678,Strong
0679,Strong
0680,Strong
0681,Strong
0682,Strong
0683,Strong
0684,Strong
0685,Strong
0686,Strong
0687,Strong
0688,Strong
0689,Strong
0690,Strong
0691,Strong
0692,Strong
0693,Strong
0694,Strong
0695,Strong
0696,Strong
0697,Strong
0698,Strong
0699,Strong
0700,Medium
0701,Strong
0702,Strong
0703,Strong
0704,Strong
0705,Strong
0706,Strong
0707,Medium
0708,Strong
0709,Strong
0710,Strong
0711,Strong
0712,Strong
0713,Strong
0714,Strong
0715,Strong
0716,Strong
0717,Strong
0718,Strong
0719,Strong
0720,Strong
0721,Strong
0722,Strong
0723,Strong
0724,Strong
0725,Strong
0726,Strong
0727,Strong
0728,Strong
0729,Strong
0730,Strong
0731,Strong
0732,Strong
0733,Strong
0734,Strong
0735,Strong
0736,Strong
0737,Strong
0738,Strong
0739,Strong
0740,Strong
0741,Strong
0742,Strong
0743,Strong
0744,Strong
0745,Strong
0746,Strong
0747,Strong
0748,Strong
0749,Strong
0750,Strong
0751,Strong
0752,Strong
0753,Strong
0754,Strong
0755,Strong
0756,Strong
0757,Strong
0758,Strong
0759,Strong
0760,Strong
0761,Strong
0762,Strong
0763,Strong
0764,Strong
0765,Strong
0766,Strong
0767,Strong
0768,Strong
0769,Strong
0770,Medium
0771,Strong
0772,Strong
0773,Strong
0774,Strong
0775,Strong
0776,Strong
0777,Medium
0778,Strong
0779,Strong
0780,Strong
0781,Strong
0782,Strong
0783,Strong
0784,Strong
0785,Strong
0786,Strong
0787,Strong
0788,Strong
0789,Strong
0790,Strong
0791,Strong
0792,Strong
0793,Strong
0794,Strong
0795,Strong
0796,Strong
0797,Strong
0798,Strong
0799,Strong
0800,Medium
0801,Strong
0802,Strong
0803,Strong
0804,Strong
0805,Strong
0806,Strong
0807,Strong
0808,Medium
0809,Strong
0810,Strong
0811,Strong
0812,Strong
0813,Strong
0814,Strong
0815,Strong
0816,Strong
0817,Strong
0818,Strong
0819,Strong
0820,Strong
0821,Strong
0822,Strong
0823,Strong
0824,Strong
0825,Strong
0826,Strong
0827,Strong
0828,Strong
0829,Strong
0830,Strong
0831,Strong
0832,Strong
0833,Strong
0834,Strong
0835,Strong
0836,Strong
0837,Strong
0838,Strong
0839,Strong
0840,Strong
0841,Strong
0842,Strong
0843,Strong
0844,Strong
0845,Strong
0846,Strong
0847,Strong
0848,Strong
0849,Strong
0850,Strong
0851,Strong
0852,Strong
0853,Strong
0854,Strong
0855,Strong
0856,Strong
0857,Strong
0858,Strong
0859,Strong
0860,Strong
0861,Strong
0862,Strong
0863,Strong
0864,Strong
0865,Strong
0866,Strong
0867,Strong
0868,Strong
0869,Strong
0870,Strong
0871,Strong
0872,Strong
0873,Strong
0874,Strong
0875,Strong
0876,Strong
0877,Strong
0878,Strong
0879,Strong
0880,Medium
0881,Strong
0882,Strong
0883,Strong
0884,Strong
0885,Strong
0886,Strong
0887,Strong
0888,Medium
0889,Strong
0890,Strong
0891,Strong
0892,Strong
0893,Strong
0894,Strong
0895,Strong
0896,Strong
0897,Strong
0898,Strong
0899,Strong
0900,Medium
0901,Strong
0902,Strong
0903,Strong
0904,Strong
0905,Strong
0906,Strong
0907,Strong
0908,Strong
0909,Medium
0910,Strong
0911,Strong
0912,Strong
0913,Strong
0914,Strong
0915,Strong
0916,Strong
0917,Strong
0918,Strong
0919,Strong
0920,Strong
0921,Strong
0922,Strong
0923,Strong
0924,Strong
0925,Strong
0926,Strong
0927,Strong
0928,Strong
0929,Strong
0930,Strong
0931,Strong
0932,Strong
0933,Strong
0934,Strong
0935,Strong
0936,Strong
0937,Strong
0938,Strong
0939,Strong
0940,Strong
0941,Strong
0942,Strong
0943,Strong
0944,Strong
0945,Strong
0946,Strong
0947,Strong
0948,Strong
0949,Strong
0950,Strong
0951,Strong
0952,Strong
0953,Strong
0954,Strong
0955,Strong
0956,Strong
0957,Strong
0958,Strong
0959,Strong
0960,Strong
0961,Strong
0962,Strong
0963,Strong
0964,Strong
0965,Strong
0966,Strong
0967,Strong
0968,Strong
0969,Strong
0970,Strong
0971,Strong
0972,Strong
0973,Strong
0974,Strong
0975,Strong
0976,Strong
0977,Strong
0978,Strong
0979,Strong
0980,Strong
0981,Strong
0982,Strong
0983,Strong
0984,Strong
0985,Strong
0986,Strong
0987,Strong
0988,Strong
0989,Strong
0990,Medium
0991,Strong
0992,Strong
0993,Strong
0994,Strong
0995,Strong
0996,Strong
0997,Strong
0998,Strong
0999,Medium
1000,Medium
1001,Medium
1002,Strong
1003,Strong
1004,Strong
1005,Strong
1006,Strong
1007,Strong
1008,Strong
1009,Strong
1010,Medium
1011,Medium
1012,Strong
1013,Strong
1014,Strong
1015,Strong
1016,Strong
1017,Strong
1018,Strong
1019,Strong
1020,Strong
1021,Strong
1022,Strong
1023,Strong
1024,Strong
1025,Strong
1026,Strong
1027,Strong
1028,Strong
1029,Strong
1030,Strong
1031,Strong
1032,Strong
1033,Strong
1034,Strong
1035,Strong
1036,Strong
1037,Strong
1038,Strong
1039,Strong
1040,Strong
1041,Strong
1042,Strong
1043,Strong
1044,Strong
1045,Strong
1046,Strong
1047,Strong
1048,Strong
1049,Strong
1050,Strong
1051,Strong
1052,Strong
1053,Strong
1054,Strong
1055,Strong
1056,Strong
1057,Strong
1058,Strong
1059,Strong
1060,Strong
1061,Strong
1062,Strong
1063,Strong
1064,Strong
1065,Strong
1066,Strong
1067,Strong
1068,Strong
1069,Strong
1070,Strong
1071,Strong
1072,Strong
1073,Strong
1074,Strong
1075,Strong
1076,Strong
1077,Strong
1078,Strong
1079,Strong
1080,Strong
1081,Strong
1082,Strong
1083,Strong
1084,Strong
1085,Strong
1086,Strong
1087,Strong
1088,Strong
1089,Strong
1090,Strong
1091,Strong
1092,Strong
1093,Strong
1094,Strong
1095,Strong
1096,Strong
1097,Strong
1098,Strong
1099,Strong
1100,Medium
1101,Medium
1102,Strong
1103,Strong
1104,Strong
1105,Strong
1106,Strong
1107,Strong
1108,Strong
1109,Strong
1110,Medium
1111,Weak
1112,Medium
1113,Medium
1114,Medium
1115,Medium
1116,Medium
1117,Medium
1118,Medium
1119,Medium
1120,Strong
1121,Medium
1122,Medium
1123,Strong
1124,Strong
1125,Strong
1126,Strong
1127,Strong
1128,Strong
1129,Strong
1130,Strong
1131,Medium
1132,Strong
1133,Medium
1134,Strong
1135,Strong
1136,Strong
1137,Strong
1138,Strong
1139,Strong
1140,Strong
1141,Medium
1142,Strong
1143,Strong
1144,Medium
1145,Strong
1146,Strong
1147,Strong
1148,Strong
1149,Strong
1150,Strong
1151,Medium
1152,Strong
1153,Strong
1154,Strong
1155,Medium
1156,Strong
1157,Strong
1158,Strong
1159,Strong
1160,Strong
1161,Medium
1162,Strong
1163,Strong
1164,Strong
1165,Strong
1166,Medium
1167,Strong
1168,Strong
1169,Strong
1170,Strong
1171,Medium
1172,Strong
1173,Strong
1174,Strong
1175,Strong
1176,Strong
1177,Medium
1178,Strong
1179,Strong
1180,Strong
1181,Medium
1182,Strong
1183,Strong
1184,Strong
1185,Strong
1186,Strong
1187,Strong
1188,Medium
1189,Strong
1190,Strong
1191,Medium
1192,Strong
1193,Strong
1194,Strong
1195,Strong
1196,Strong
1197,Strong
1198,Strong
1199,Medium
1200,Strong
1201,Strong
1202,Strong
1203,Strong
1204,Strong
1205,Strong
1206,Strong
1207,Strong
1208,Strong
1209,Strong
1210,Strong
1211,Medium
1212,Medium
1213,Strong
1214,Strong
1215,Strong
1216,Strong
1217,Strong
1218,Strong
1219,Strong
1220,Strong
1221,Medium
1222,Medium
1223,Strong
1224,Strong
1225,Strong
1226,Strong
1227,Strong
1228,Strong
1229,Strong
1230,Strong
1231,Strong
1232,Strong
1233,Strong
1234,Strong
1235,Strong
1236,Strong
1237,Strong
1238,Strong
1239,Strong
1240,Strong
1241,Strong
1242,Strong
1243,Strong
1244,Strong
1245,Strong
1246,Strong
1247,Strong
1248,Strong
1249,Strong
1250,Strong
1251,Strong
1252,Strong
1253,Strong
1254,Strong
1255,Strong
1256,Strong
1257,Strong
1258,Strong
1259,Strong
1260,Strong
1261,Strong
1262,Strong
1263,Strong
1264,Strong
1265,Strong
1266,Strong
1267,Strong
1268,Strong
1269,Strong
1270,Strong
1271,Strong
1272,Strong
1273,Strong
1274,Strong
1275,Strong
1276,Strong
1277,Strong
1278,Strong
1279,Strong
1280,Strong
1281,Strong
1282,Strong
1283,Strong
1284,Strong
1285,Strong
1286,Strong
1287,Strong
1288,Strong
1289,Strong
1290,Strong
1291,Strong
1292,Strong
1293,Strong
1294,Strong
1295,Strong
1296,Strong
1297,Strong
1298,Strong
1299,Strong
1300,Strong
1301,Strong
1302,Strong
1303,Strong
1304,Strong
1305,Strong
1306,Strong
1307,Strong
1308,Strong
1309,Strong
1310,Strong
1311,Medium
1312,Strong
1313,Medium
1314,Strong
1315,Strong
1316,Strong
1317,Strong
1318,Strong
1319,Strong
1320,Strong
1321,Strong
1322,Strong
1323,Strong
1324,Strong
1325,Strong
1326,Strong
1327,Strong
1328,Strong
1329,Strong
1330,Strong
1331,Medium
1332,Strong
1333,Medium
1334,Strong
1335,Strong
1336,Strong
1337,Strong
1338,Strong
1339,Strong
1340,Strong
1341,Strong
1342,Strong
1343,Strong
1344,Strong
1345,Strong
1346,Strong
1347,Strong
1348,Strong
1349,Strong
1350,Strong
1351,Strong
1352,Strong
1353,Strong
1354,Strong
1355,Strong
1356,Strong
1357,Strong
1358,Strong
1359,Strong
1360,Strong
1361,Strong
1362,Strong
1363,Strong
1364,Strong
1365,Strong
1366,Strong
1367,Strong
1368,Strong
1369,Strong
1370,Strong
1371,Strong
1372,Strong
1373,Strong
1374,Strong
1375,Strong
1376,Strong
1377,Strong
1378,Strong
1379,Strong
1380,Strong
1381,Strong
1382,Strong
1383,Strong
1384,Strong
1385,Strong
1386,Strong
1387,Strong
1388,Strong
1389,Strong
1390,Strong
1391,Strong
1392,Strong
1393,Strong
1394,Strong
1395,Strong
1396,Strong
1397,Strong
1398,Strong
1399,Strong
1400,Strong
1401,Strong
1402,Strong
1403,Strong
1404,Strong
1405,Strong
1406,Strong
1407,Strong
1408,Strong
1409,Strong
1410,Strong
1411,Medium
1412,Strong
1413,Strong
1414,Medium
1415,Strong
1416,Strong
1417,Strong
1418,Strong
1419,Strong
1420,Strong
1421,Strong
1422,Strong
1423,Strong
1424,Strong
1425,Strong
1426,Strong
1427,Strong
1428,Strong
1429,Strong
1430,Strong
1431,Strong
1432,Strong
1433,Strong
1434,Strong
1435,Strong
1436,Strong
1437,Strong
1438,Strong
1439,Strong
1440,Strong
1441,Medium
1442,Strong
1443,Strong
1444,Medium
1445,Strong
1446,Strong
1447,Strong
1448,Strong
1449,Strong
1450,Strong
1451,Strong
1452,Strong
1453,Strong
1454,Strong
1455,Strong
1456,Strong
1457,Strong
1458,Strong
1459,Strong
1460,Strong
1461,Strong
1462,Strong
1463,Strong
1464,Strong
1465,Strong
1466,Strong
1467,Strong
1468,Strong
1469,Strong
1470,Strong
1471,Strong
1472,Strong
1473,Strong
1474,Strong
1475,Strong
1476,Strong
1477,Strong
1478,Strong
1479,Strong
1480,Strong
1481,Strong
1482,Strong
1483,Strong
1484,Strong
1485,Strong
1486,Strong
1487,Strong
1488,Strong
1489,Strong
1490,Strong
1491,Strong
1492,Strong
1493,Strong
1494,Strong
1495,Strong
1496,Strong
1497,Strong
1498,Strong
1499,Strong
1500,Strong
1501,Strong
1502,Strong
1503,Strong
1504,Strong
1505,Strong
1506,Strong
1507,Strong
1508,Strong
1509,Strong
1510,Strong
1511,Medium
1512,Strong
1513,Strong
1514,Strong
1515,Medium
1516,Strong
1517,Strong
1518,Strong
1519,Strong
1520,Strong
1521,Strong
1522,Strong
1523,Strong
1524,Strong
1525,Strong
1526,Strong
1527,Strong
1528,Strong
1529,Strong
1530,Strong
1531,Strong
1532,Strong
1533,Strong
1534,Strong
1535,Strong
1536,Strong
1537,Strong
1538,Strong
1539,Strong
1540,Strong
1541,Strong
1542,Strong
1543,Strong
1544,Strong
1545,Strong
1546,Strong
1547,Strong
1548,Strong
1549,Strong
1550,Strong
1551,Medium
1552,Strong
1553,Strong
1554,Strong
1555,Medium
1556,Strong
1557,Strong
1558,Strong
1559,Strong
1560,Strong
1561,Strong
1562,Strong
1563,Strong
1564,Strong
1565,Strong
1566,Strong
1567,Strong
1568,Strong
1569,Strong
1570,Strong
1571,Strong
1572,Strong
1573,Strong
1574,Strong
1575,Strong
1576,Strong
1577,Strong
1578,Strong
1579,Strong
1580,Strong
1581,Strong
1582,Strong
1583,Strong
1584,Strong
1585,Strong
1586,Strong
1587,Strong
1588,Strong
1589,Strong
1590,Strong
1591,Strong
1592,Strong
1593,Strong
1594,Strong
1595,Strong
1596,Strong
1597,Strong
1598,Strong
1599,Strong
1600,Strong
1601,Strong
1602,Strong
1603,Strong
1604,Strong
1605,Strong
1606,Strong
1607,Strong
1608,Strong
1609,Strong
1610,Strong
1611,Medium
1612,Strong
1613,Strong
1614,Strong
1615,Strong
1616,Medium
1617,Strong
1618,Strong
1619,Strong
1620,Strong
1621,Strong
1622,Strong
1623,Strong
1624,Strong
1625,Strong
1626,Strong
1627,Strong
1628,Strong
1629,Strong
1630,Strong
1631,Strong
1632,Strong
1633,Strong
1634,Strong
1635,Strong
1636,Strong
1637,Strong
1638,Strong
1639,Strong
1640,Strong
1641,Strong
1642,Strong
1643,Strong
1644,Strong
1645,Strong
1646,Strong
1647,Strong
1648,Strong
1649,Strong
1650,Strong
1651,Strong
1652,Strong
1653,Strong
1654,Strong
1655,Strong
1656,Strong
1657,Strong
1658,Strong
1659,Strong
1660,Strong
1661,Medium
1662,Strong
1663,Strong
1664,Strong
1665,Strong
1666,Medium
1667,Strong
1668,Strong
1669,Strong
1670,Strong
1671,Strong
1672,Strong
1673,Strong
1674,Strong
1675,Strong
1676,Strong
1677,Strong
1678,Strong
1679,Strong
1680,Strong
1681,Strong
1682,Strong
1683,Strong
1684,Strong
1685,Strong
1686,Strong
1687,Strong
1688,Strong
1689,Strong
1690,Strong
1691,Strong
1692,Strong
1693,Strong
1694,Strong
1695,Strong
1696,Strong
1697,Strong
1698,Strong
1699,Strong
1700,Strong
1701,Strong
1702,Strong
1703,Strong
1704,Strong
1705,Strong
1706,Strong
1707,Strong
1708,Strong
1709,Strong
1710,Strong
1711,Medium
1712,Strong
1713,Strong
1714,Strong
1715,Strong
1716,Strong
1717,Medium
1718,Strong
1719,Strong
1720,Strong
1721,Strong
1722,Strong
1723,Strong
1724,Strong
1725,Strong
1726,Strong
1727,Strong
1728,Strong
1729,Strong
1730,Strong
1731,Strong
1732,Strong
1733,Strong
1734,Strong
1735,Strong
1736,Strong
1737,Strong
1738,Strong
1739,Strong
1740,Strong
1741,Strong
1742,Strong
1743,Strong
1744,Strong
1745,Strong
1746,Strong
1747,Strong
1748,Strong
1749,Strong
1750,Strong
1751,Strong
1752,Strong
1753,Strong
1754,Strong
1755,Strong
1756,Strong
1757,Strong
1758,Strong
1759,Strong
1760,Strong
1761,Strong
1762,Strong
1763,Strong
1764,Strong
1765,Strong
1766,Strong
1767,Strong
1768,Strong
1769,Strong
1770,Strong
1771,Medium
1772,Strong
1773,Strong
1774,Strong
1775,Strong
1776,Strong
1777,Medium
1778,Strong
1779,Strong
1780,Strong
1781,Strong
1782,Strong
1783,Strong
1784,Strong
1785,Strong
1786,Strong
1787,Strong
1788,Strong
1789,Strong
1790,Strong
1791,Strong
1792,Strong
1793,Strong
1794,Strong
1795,Strong
1796,Strong
1797,Strong
1798,Strong
1799,Strong
1800,Strong
1801,Strong
1802,Strong
1803,Strong
1804,Strong
1805,Strong
1806,Strong
1807,Strong
1808,Strong
1809,Strong
1810,Strong
1811,Medium
1812,Strong
1813,Strong
1814,Strong
1815,Strong
1816,Strong
1817,Strong
1818,Medium
1819,Strong
1820,Strong
1821,Strong
1822,Strong
1823,Strong
1824,Strong
1825,Strong
1826,Strong
1827,Strong
1828,Strong
1829,Strong
1830,Strong
1831,Strong
1832,Strong
1833,Strong
1834,Strong
1835,Strong
1836,Strong
1837,Strong
1838,Strong
1839,Strong
1840,Strong
1841,Strong
1842,Strong
1843,Strong
1844,Strong
1845,Strong
1846,Strong
1847,Strong
1848,Strong
1849,Strong
1850,Strong
1851,Strong
1852,Strong
1853,Strong
1854,Strong
1855,Strong
1856,Strong
1857,Strong
1858,Strong
1859,Strong
1860,Strong
1861,Strong
1862,Strong
1863,Strong
1864,Strong
1865,Strong
1866,Strong
1867,Strong
1868,Strong
1869,Strong
1870,Strong
1871,Strong
1872,Strong
1873,Strong
1874,Strong
1875,Strong
1876,Strong
1877,Strong
1878,Strong
1879,Strong
1880,Strong
1881,Medium
1882,Strong
1883,Strong
1884,Strong
1885,Strong
1886,Strong
1887,Strong
1888,Medium
1889,Strong
1890,Strong
1891,Strong
1892,Strong
1893,Strong
1894,Strong
1895,Strong
1896,Strong
1897,Strong
1898,Strong
1899,Strong
1900,Strong
1901,Strong
1902,Strong
1903,Strong
1904,Strong
1905,Strong
1906,Strong
1907,Strong
1908,Strong
1909,Strong
1910,Strong
1911,Medium
1912,Strong
1913,Strong
1914,Strong
1915,Strong
1916,Strong
1917,Strong
1918,Strong
1919,Medium
1920,Strong
1921,Strong
1922,Strong
1923,Strong
1924,Strong
1925,Strong
1926,Strong
1927,Strong
1928,Strong
1929,Strong
1930,Strong
1931,Strong
1932,Strong
1933,Strong
1934,Strong
1935,Strong
1936,Strong
1937,Strong
1938,Strong
1939,Strong
1940,Strong
1941,Strong
1942,Strong
1943,Strong
1944,Strong
1945,Strong
1946,Strong
1947,Strong
1948,Strong
1949,Strong
1950,Strong
1951,Strong
1952,Strong
1953,Strong
1954,Strong
1955,Strong
1956,Strong
1957,Strong
1958,Strong
1959,Strong
1960,Strong
1961,Strong
1962,Strong
1963,Strong
1964,Strong
1965,Strong
1966,Strong
1967,Strong
1968,Strong
1969,Strong
1970,Strong
1971,Strong
1972,Strong
1973,Strong
1974,Strong
1975,Strong
1976,Strong
1977,Strong
1978,Strong
1979,Strong
1980,Strong
1981,Strong
1982,Strong
1983,Strong
1984,Strong
1985,Strong
1986,Strong
1987,Strong
1988,Strong
1989,Strong
1990,Strong
1991,Medium
1992,Strong
1993,Strong
1994,Strong
1995,Strong
1996,Strong
